,epochs,variable,value
0,0,train,0.9837682092631305
1,1,train,0.9339003253866125
2,2,train,0.9239786532190111
3,3,train,0.921042263507843
4,4,train,0.9195644303604409
5,5,train,0.9140765810454333
6,6,train,0.9020806109463727
7,7,train,0.8895313022313295
8,8,train,0.8678045195561869
9,9,train,0.8497991285942219
10,10,train,0.8296053155704781
11,11,train,0.8111005712438513
12,12,train,0.7867524458302392
13,13,train,0.7554702195856307
14,14,train,0.7566371880195759
15,15,train,0.7490709744117878
16,16,train,0.73158292527552
17,17,train,0.7464417804170538
18,18,train,0.7041265627852192
19,19,train,0.6813234399866175
